mother_pid,wav,child_pid,child_wav,child_age,child_gender,child_enroll,mother_wav,mother_edu,mother_birthy,mother_pa401ccode,mother_birth_prov
130385105.0,2018,130385106.0,2018.0,10.0,0.0,1.0,2018.0,,,,
130393105.0,2018,130393107.0,2018.0,10.0,1.0,1.0,2018.0,3.0,1980.0,,
130393105.0,2018,130393107.0,2018.0,10.0,1.0,1.0,2018.0,3.0,1980.0,,
130396105.0,2018,130396106.0,2018.0,10.0,0.0,1.0,,,,,
130396105.0,2018,130396106.0,2018.0,10.0,0.0,1.0,,,,,
130397102.0,2018,130397104.0,2018.0,15.0,0.0,1.0,2018.0,,1973.0,,
130398104.0,2018,130398105.0,2018.0,15.0,1.0,1.0,,,,,
130399104.0,2018,130399105.0,2018.0,12.0,1.0,1.0,2018.0,4.0,,,
130399104.0,2018,130399105.0,2018.0,12.0,1.0,1.0,2018.0,4.0,,,
130413104.0,2018,130413105.0,2018.0,13.0,0.0,1.0,,,,,
130413104.0,2018,130413105.0,2018.0,13.0,0.0,1.0,,,,,
130418101.0,2018,130418103.0,2018.0,16.0,1.0,1.0,2018.0,3.0,1979.0,,
130420102.0,2018,130420103.0,2018.0,14.0,0.0,1.0,2018.0,4.0,1983.0,,
130420102.0,2018,130420103.0,2018.0,14.0,0.0,1.0,2018.0,4.0,1983.0,,
130426103.0,2018,130426105.0,2018.0,14.0,1.0,1.0,2018.0,3.0,1978.0,,
130426103.0,2018,130426105.0,2018.0,14.0,1.0,1.0,2018.0,3.0,1978.0,,
130433104.0,2018,130433105.0,2018.0,13.0,1.0,1.0,2018.0,4.0,1982.0,,
130433104.0,2018,130433105.0,2018.0,13.0,1.0,1.0,2018.0,4.0,1982.0,,
130443104.0,2018,130443105.0,2018.0,13.0,0.0,0.0,2018.0,5.0,1982.0,,
130443104.0,2018,130443105.0,2018.0,13.0,0.0,1.0,2018.0,5.0,1982.0,,
130452102.0,2018,130452103.0,2018.0,19.0,0.0,1.0,2018.0,,1973.0,,
130453101.0,2018,130453103.0,2018.0,15.0,0.0,1.0,2018.0,4.0,1974.0,,
130453101.0,2018,130453103.0,2018.0,15.0,0.0,1.0,2018.0,4.0,1974.0,,
130459102.0,2018,130459103.0,2018.0,15.0,1.0,0.0,2018.0,3.0,1978.0,,
130459102.0,2018,130459103.0,2018.0,15.0,1.0,1.0,2018.0,3.0,1978.0,,
130465104.0,2018,130465105.0,2018.0,14.0,1.0,1.0,2018.0,4.0,,,13.0
130465104.0,2018,130465105.0,2018.0,14.0,1.0,0.0,2018.0,4.0,,,13.0
130472104.0,2018,130472105.0,2018.0,11.0,1.0,1.0,2018.0,4.0,1983.0,,
130472104.0,2018,130472105.0,2018.0,11.0,1.0,1.0,2018.0,4.0,1983.0,,
130475106.0,2018,130475107.0,2018.0,14.0,1.0,1.0,,,,,
130475106.0,2018,130475107.0,2018.0,14.0,1.0,1.0,,,,,
