mother_pid,wav,child_pid,child_birth_y,child_gender,child_enroll,child_age,child_math,child_eduy,child_wav,mother_birth_y,mother_gender,mother_age,mother_eth,mother_birth_prov,mother_enroll2,mother_eduy,mother_wav
140149103.0,2020,140149401.0,2010.0,0.0,1.0,10.0,2.0,3.0,2020.0,1986.0,0.0,34.0,,,0.0,9.0,2020.0
140156102.0,2020,140156103.0,2006.0,0.0,1.0,14.0,3.0,8.0,2020.0,1982.0,0.0,38.0,,,0.0,12.0,2020.0
140182106.0,2020,140182107.0,2008.0,0.0,1.0,12.0,2.0,5.0,2020.0,,,,,,,,
140187101.0,2020,140187104.0,2006.0,1.0,1.0,14.0,3.0,8.0,2020.0,1973.0,0.0,47.0,,,,9.0,2020.0
140190101.0,2020,140190104.0,2007.0,0.0,1.0,13.0,4.0,7.0,2020.0,1972.0,0.0,48.0,,,,9.0,2020.0
140192102.0,2020,140192103.0,2008.0,0.0,1.0,12.0,2.0,5.0,2020.0,1988.0,0.0,32.0,,,0.0,7.0,2020.0
140200104.0,2020,140200106.0,2007.0,0.0,1.0,13.0,3.0,7.0,2020.0,1982.0,0.0,38.0,,,0.0,9.0,2020.0
140203104.0,2020,140203105.0,2005.0,0.0,1.0,15.0,2.0,9.0,2020.0,1985.0,0.0,35.0,,,0.0,9.0,2020.0
140210102.0,2020,140210103.0,2006.0,1.0,1.0,14.0,3.0,8.0,2020.0,1982.0,0.0,38.0,,,0.0,9.0,2020.0
140221104.0,2020,140221106.0,2009.0,1.0,1.0,11.0,2.0,4.0,2020.0,1989.0,0.0,31.0,,,0.0,15.0,2020.0
140222105.0,2020,140222106.0,2008.0,0.0,1.0,12.0,2.0,6.0,2020.0,1986.0,0.0,34.0,,,0.0,12.0,2020.0
140304101.0,2020,140304103.0,2009.0,0.0,1.0,11.0,3.0,2.0,2020.0,1988.0,0.0,32.0,,,0.0,3.0,2020.0
140357101.0,2020,140357104.0,2007.0,0.0,1.0,13.0,1.0,7.0,2020.0,1987.0,0.0,33.0,,,0.0,9.0,2020.0
140360101.0,2020,140360105.0,2009.0,0.0,1.0,11.0,3.0,5.0,2020.0,1985.0,0.0,35.0,,,0.0,9.0,2020.0
140368103.0,2020,140368105.0,2009.0,1.0,1.0,11.0,2.0,5.0,2020.0,1987.0,0.0,33.0,,,0.0,9.0,2020.0
140376104.0,2020,140376105.0,2005.0,1.0,1.0,15.0,4.0,10.0,2020.0,1985.0,0.0,35.0,,,0.0,11.0,2020.0
140486102.0,2020,140486103.0,2007.0,1.0,1.0,13.0,3.0,7.0,2020.0,1976.0,0.0,44.0,,,0.0,9.0,2020.0
140517105.0,2020,140517106.0,2006.0,0.0,1.0,14.0,3.0,8.0,2020.0,,,,,,,,
140583531.0,2020,140583501.0,2009.0,1.0,1.0,11.0,2.0,4.0,2020.0,1984.0,0.0,36.0,,,0.0,12.0,2020.0
140599101.0,2020,140599104.0,2009.0,1.0,1.0,11.0,1.0,5.0,2020.0,1977.0,0.0,43.0,,,0.0,12.0,2020.0
140624101.0,2020,140624104.0,2009.0,0.0,1.0,11.0,2.0,5.0,2020.0,1982.0,0.0,38.0,,,0.0,9.0,2020.0
140640102.0,2020,140640105.0,2006.0,0.0,1.0,14.0,3.0,8.0,2020.0,1987.0,0.0,33.0,,,0.0,7.0,2020.0
140760104.0,2020,140760105.0,2010.0,1.0,1.0,10.0,2.0,4.0,2020.0,,0.0,31.0,,,0.0,9.0,2020.0
140770101.0,2020,140770104.0,2009.0,1.0,1.0,11.0,3.0,5.0,2020.0,1970.0,0.0,50.0,,,,9.0,2020.0
140777104.0,2020,140777107.0,2009.0,1.0,1.0,11.0,3.0,4.0,2020.0,1990.0,0.0,30.0,,,0.0,9.0,2020.0
140785104.0,2020,140785105.0,2009.0,0.0,1.0,11.0,4.0,5.0,2020.0,1991.0,0.0,29.0,,,0.0,12.0,2020.0
140796106.0,2020,140796108.0,2009.0,1.0,1.0,11.0,1.0,4.0,2020.0,1990.0,0.0,30.0,,,0.0,,2020.0
140851102.0,2020,140851103.0,2005.0,0.0,1.0,15.0,2.0,9.0,2020.0,1973.0,0.0,47.0,,,,,2020.0
140867101.0,2020,140867103.0,2008.0,0.0,1.0,12.0,4.0,5.0,2020.0,1983.0,0.0,37.0,,,0.0,12.0,2020.0
140874104.0,2020,140874105.0,2009.0,0.0,1.0,11.0,2.0,5.0,2020.0,,0.0,34.0,,,0.0,12.0,2020.0
211465104.0,2020,211465105.0,2005.0,1.0,1.0,15.0,1.0,8.0,2020.0,1983.0,0.0,37.0,,,0.0,6.0,2020.0
410172103.0,2020,410172401.0,2010.0,1.0,1.0,10.0,1.0,3.0,2020.0,1988.0,0.0,32.0,,,0.0,12.0,2020.0
220043104.0,2020,220043105.0,2009.0,1.0,1.0,11.0,1.0,5.0,2020.0,1984.0,0.0,36.0,,,0.0,9.0,2020.0
311750103.0,2020,146136502.0,2010.0,0.0,1.0,10.0,4.0,3.0,2020.0,1987.0,0.0,33.0,,,0.0,16.0,2020.0
211402107.0,2020,211402106.0,2009.0,1.0,1.0,11.0,1.0,5.0,2020.0,1988.0,0.0,32.0,,,0.0,6.0,2020.0
410049101.0,2020,410049103.0,2007.0,1.0,1.0,13.0,2.0,7.0,2020.0,1976.0,0.0,44.0,,,0.0,12.0,2020.0
410506105.0,2020,410506521.0,2010.0,1.0,1.0,10.0,2.0,4.0,2020.0,1987.0,0.0,33.0,,,0.0,16.0,2020.0
410858104.0,2020,410858107.0,2006.0,0.0,1.0,14.0,1.0,8.0,2020.0,1982.0,0.0,38.0,,,0.0,9.0,2020.0
621780103.0,2020,150767554.0,2008.0,1.0,1.0,12.0,2.0,5.0,2020.0,,0.0,35.0,,,0.0,,2020.0
621870105.0,2020,621870106.0,2007.0,0.0,1.0,13.0,4.0,6.0,2020.0,,0.0,39.0,,,0.0,9.0,2020.0
211028104.0,2020,211028401.0,2010.0,0.0,1.0,10.0,3.0,4.0,2020.0,1984.0,0.0,36.0,,,0.0,9.0,2020.0
130911104.0,2020,130911105.0,2005.0,1.0,1.0,15.0,3.0,9.0,2020.0,1982.0,0.0,38.0,,,0.0,12.0,2020.0
140370105.0,2020,140370401.0,,0.0,1.0,10.0,4.0,3.0,2020.0,1989.0,0.0,31.0,,,0.0,9.0,2020.0
211031101.0,2020,211031104.0,2009.0,1.0,1.0,11.0,2.0,4.0,2020.0,1983.0,0.0,37.0,,,0.0,9.0,2020.0
500175106.0,2020,500175109.0,2005.0,1.0,1.0,15.0,2.0,9.0,2020.0,1983.0,0.0,37.0,,,0.0,9.0,2020.0
610274104.0,2020,610274107.0,2009.0,1.0,1.0,11.0,1.0,4.0,2020.0,1973.0,0.0,47.0,,,,16.0,2020.0
330006103.0,2020,330006432.0,2008.0,1.0,1.0,12.0,1.0,5.0,2020.0,,,,,,,,
140345101.0,2020,140345103.0,2007.0,1.0,1.0,13.0,2.0,7.0,2020.0,1984.0,0.0,36.0,,,0.0,9.0,2020.0
410507101.0,2020,410507103.0,,1.0,1.0,13.0,1.0,7.0,2020.0,1982.0,0.0,38.0,,,0.0,12.0,2020.0
520035106.0,2020,520035104.0,2008.0,1.0,1.0,12.0,4.0,5.0,2020.0,1980.0,0.0,40.0,,,0.0,4.0,2020.0
360208531.0,2020,360208105.0,2008.0,1.0,0.0,12.0,4.0,6.0,2020.0,1988.0,0.0,32.0,,,0.0,9.0,2020.0
177667501.0,2020,621605103.0,2008.0,1.0,1.0,12.0,3.0,6.0,2020.0,1983.0,0.0,37.0,,,0.0,9.0,2020.0
130462104.0,2020,130462208.0,,1.0,1.0,14.0,2.0,8.0,2020.0,,0.0,39.0,,,0.0,0.0,2020.0
441564106.0,2020,441564110.0,2010.0,1.0,1.0,10.0,1.0,4.0,2020.0,1983.0,0.0,37.0,,,0.0,9.0,2020.0
130633104.0,2020,130633105.0,2009.0,1.0,0.0,11.0,1.0,4.0,2020.0,1989.0,0.0,31.0,,,0.0,6.0,2020.0
