mother_pid,wav,child_pid,child_birth_y,child_gender,child_age,child_enroll,child_math,child_eduy,child_wav,mother_birth_y,mother_gender,mother_age,mother_eth,mother_birth_prov,mother_enroll2,mother_eduy,mother_wav
130923104.0,2018,130923105.0,2008.0,0.0,10.0,0.0,3.0,3.0,2018.0,,0.0,35.0,,,0.0,8.0,2018.0
130926102.0,2018,130926103.0,2005.0,0.0,13.0,1.0,4.0,7.0,2018.0,1984.0,0.0,34.0,,,0.0,9.0,2018.0
130928104.0,2018,130928105.0,2005.0,1.0,13.0,1.0,3.0,7.0,2018.0,1982.0,0.0,36.0,,,0.0,9.0,2018.0
135165501.0,2018,135165502.0,2008.0,0.0,10.0,1.0,3.0,3.0,2018.0,1984.0,0.0,34.0,,,0.0,9.0,2018.0
140241104.0,2018,140241105.0,2003.0,1.0,15.0,1.0,1.0,9.0,2018.0,1979.0,0.0,39.0,,,0.0,6.0,2018.0
520516105.0,2018,520516106.0,2005.0,1.0,13.0,1.0,2.0,6.0,2018.0,1985.0,0.0,33.0,,,0.0,6.0,2018.0
621249101.0,2018,621249103.0,2004.0,0.0,14.0,1.0,4.0,8.0,2018.0,1975.0,0.0,43.0,,,0.0,0.0,2018.0
130074104.0,2018,130074105.0,2005.0,1.0,13.0,1.0,4.0,6.0,2018.0,1981.0,0.0,37.0,,,0.0,9.0,2018.0
140006102.0,2018,140006103.0,2007.0,1.0,11.0,1.0,2.0,6.0,2018.0,1987.0,0.0,31.0,,,0.0,9.0,2018.0
140031104.0,2018,140031105.0,2004.0,1.0,14.0,1.0,3.0,9.0,2018.0,1980.0,0.0,38.0,,,0.0,12.0,2018.0
140045102.0,2018,140045103.0,2004.0,0.0,14.0,1.0,1.0,8.0,2018.0,1976.0,0.0,42.0,,,0.0,16.0,2018.0
140049101.0,2018,140049103.0,2007.0,1.0,11.0,1.0,1.0,5.0,2018.0,1982.0,0.0,36.0,,,0.0,12.0,2018.0
140056101.0,2018,140056103.0,2003.0,1.0,15.0,1.0,3.0,10.0,2018.0,1979.0,0.0,39.0,,,0.0,12.0,2018.0
140084105.0,2018,140084106.0,2008.0,1.0,10.0,1.0,3.0,3.0,2018.0,1986.0,0.0,32.0,,,0.0,9.0,2018.0
140114102.0,2018,140114103.0,2003.0,0.0,15.0,1.0,4.0,10.0,2018.0,1980.0,0.0,38.0,,,0.0,6.0,2018.0
140156102.0,2018,140156103.0,2006.0,0.0,12.0,1.0,1.0,6.0,2018.0,1982.0,0.0,36.0,,,0.0,12.0,2018.0
140177103.0,2018,140177104.0,2002.0,1.0,16.0,1.0,4.0,9.0,2018.0,1980.0,0.0,38.0,,,0.0,9.0,2018.0
140187101.0,2018,140187103.0,2003.0,0.0,15.0,1.0,2.0,9.0,2018.0,1973.0,0.0,45.0,,,,9.0,2018.0
140188104.0,2018,140188105.0,2003.0,1.0,15.0,1.0,1.0,8.0,2018.0,,0.0,41.0,,,0.0,9.0,2018.0
