mother_pid,wav,child_pid,child_age,child_gender,child_birth_prov,child_eth,child_enroll,child_math,child_eduy,child_wav,mother_age,mother_gender,mother_birth_prov,mother_eth,mother_enroll2,mother_eduy,mother_wav
140031104.0,2016,140031105.0,12.0,1.0,,,1.0,3.0,6.0,2016.0,36.0,0.0,,,0.0,15.0,2016.0
140039102.0,2016,140039103.0,14.0,0.0,,,1.0,1.0,8.0,2016.0,40.0,0.0,,,0.0,9.0,2016.0
140045102.0,2016,140045103.0,12.0,0.0,,,1.0,1.0,6.0,2016.0,40.0,0.0,,,0.0,16.0,2016.0
140052102.0,2016,140052103.0,15.0,1.0,,,1.0,1.0,9.0,2016.0,42.0,0.0,,,0.0,9.0,2016.0
140056101.0,2016,140056103.0,13.0,1.0,,,1.0,3.0,7.0,2016.0,37.0,0.0,,,0.0,12.0,2016.0
140068101.0,2016,140068103.0,15.0,1.0,,,1.0,2.0,9.0,2016.0,44.0,0.0,,,0.0,9.0,2016.0
140086104.0,2016,140086105.0,10.0,0.0,,,1.0,3.0,5.0,2016.0,34.0,0.0,,,0.0,9.0,2016.0
140114102.0,2016,140114103.0,13.0,0.0,,,1.0,3.0,7.0,2016.0,36.0,0.0,,,0.0,6.0,2016.0
140155102.0,2016,140155103.0,15.0,1.0,,,1.0,3.0,8.0,2016.0,36.0,0.0,,,0.0,9.0,2016.0
140156102.0,2016,140156103.0,10.0,0.0,,,1.0,1.0,4.0,2016.0,34.0,0.0,,,0.0,12.0,2016.0
140177103.0,2016,140177104.0,14.0,1.0,,,1.0,3.0,8.0,2016.0,36.0,0.0,,,0.0,9.0,2016.0
140187101.0,2016,140187103.0,13.0,0.0,,,1.0,1.0,7.0,2016.0,43.0,0.0,,,0.0,9.0,2016.0
140188104.0,2016,140188105.0,13.0,1.0,,,1.0,1.0,6.0,2016.0,39.0,0.0,,,0.0,8.0,2016.0
140198102.0,2016,140198103.0,14.0,0.0,,,1.0,4.0,8.0,2016.0,35.0,0.0,,,0.0,8.0,2016.0
140200104.0,2016,140200105.0,13.0,1.0,,,1.0,3.0,8.0,2016.0,34.0,0.0,,,0.0,9.0,2016.0
140203104.0,2016,140203105.0,11.0,0.0,,,1.0,4.0,5.0,2016.0,31.0,0.0,,,0.0,9.0,2016.0
140210102.0,2016,140210103.0,10.0,1.0,,,1.0,3.0,5.0,2016.0,34.0,0.0,,,0.0,9.0,2016.0
140217102.0,2016,140217103.0,12.0,0.0,,,1.0,4.0,6.0,2016.0,42.0,0.0,,,0.0,6.0,2016.0
140241104.0,2016,140241105.0,13.0,1.0,,,1.0,3.0,5.0,2016.0,38.0,0.0,,,0.0,6.0,2016.0
140297101.0,2016,140297102.0,15.0,1.0,,,1.0,3.0,8.0,2016.0,33.0,0.0,,,0.0,6.0,2016.0
140302104.0,2016,140302105.0,12.0,1.0,,,1.0,2.0,5.0,2016.0,,,,,,,
140309104.0,2016,140309106.0,14.0,0.0,,,1.0,3.0,7.0,2016.0,44.0,0.0,,,0.0,3.0,2016.0
140330104.0,2016,140330105.0,14.0,0.0,,,1.0,1.0,8.0,2016.0,35.0,0.0,,,0.0,9.0,2016.0
140337104.0,2016,140337105.0,14.0,1.0,,,1.0,3.0,8.0,2016.0,35.0,0.0,,,0.0,,2016.0
140340105.0,2016,140340106.0,15.0,0.0,,,1.0,2.0,9.0,2016.0,,,,,,,
140345101.0,2016,140345103.0,10.0,1.0,,1.0,1.0,3.0,4.0,2016.0,32.0,0.0,,,0.0,,2016.0
140347102.0,2016,140347106.0,10.0,0.0,,,1.0,2.0,4.0,2016.0,31.0,0.0,,,0.0,9.0,2016.0
140359102.0,2016,140359103.0,12.0,0.0,,,1.0,3.0,6.0,2016.0,33.0,0.0,,,0.0,9.0,2016.0
140376104.0,2016,140376105.0,11.0,1.0,,,1.0,2.0,6.0,2016.0,31.0,0.0,,,0.0,11.0,2016.0
140513105.0,2016,140513106.0,12.0,0.0,,,1.0,2.0,6.0,2016.0,30.0,0.0,,,0.0,,2016.0
140517105.0,2016,140517106.0,10.0,0.0,,,1.0,4.0,3.0,2016.0,,,,,,,
140525101.0,2016,140525105.0,12.0,1.0,,,1.0,3.0,5.0,2016.0,34.0,0.0,,,0.0,9.0,2016.0
140531104.0,2016,140531105.0,14.0,0.0,,,1.0,4.0,3.0,2016.0,37.0,0.0,,,0.0,,2016.0
140536104.0,2016,140536105.0,13.0,0.0,,1.0,1.0,4.0,7.0,2016.0,34.0,0.0,,,0.0,6.0,2016.0
140545101.0,2016,140545103.0,11.0,0.0,,,1.0,3.0,5.0,2016.0,33.0,0.0,,,0.0,,2016.0
140631101.0,2016,140631103.0,13.0,1.0,,,1.0,3.0,6.0,2016.0,34.0,0.0,,,0.0,12.0,2016.0
140640102.0,2016,140640105.0,10.0,0.0,,,1.0,3.0,4.0,2016.0,29.0,0.0,,,0.0,7.0,2016.0
140661532.0,2016,140661103.0,15.0,1.0,,,1.0,3.0,10.0,2016.0,36.0,0.0,,,0.0,12.0,2016.0
140676432.0,2016,140676107.0,10.0,1.0,,,1.0,3.0,4.0,2016.0,31.0,0.0,,,0.0,9.0,2016.0
140741102.0,2016,140741103.0,15.0,1.0,,,0.0,,6.0,2016.0,36.0,0.0,,,0.0,,2016.0
140834104.0,2016,140834106.0,12.0,0.0,,,1.0,2.0,6.0,2016.0,31.0,0.0,,,0.0,6.0,2016.0
140835104.0,2016,140835105.0,10.0,1.0,,,1.0,1.0,4.0,2016.0,,,,,,,
140839102.0,2016,140839103.0,14.0,1.0,,,1.0,2.0,8.0,2016.0,35.0,0.0,,,0.0,,2016.0
140843102.0,2016,140843103.0,10.0,0.0,,,1.0,1.0,4.0,2016.0,34.0,0.0,,,0.0,,2016.0
140846101.0,2016,140846103.0,11.0,1.0,,,1.0,3.0,5.0,2016.0,29.0,0.0,,,0.0,9.0,2016.0
140858104.0,2016,140858105.0,13.0,1.0,,,1.0,3.0,8.0,2016.0,40.0,0.0,,,0.0,9.0,2016.0
153919551.0,2016,450165112.0,10.0,0.0,,1.0,1.0,4.0,3.0,2016.0,27.0,0.0,,1.0,0.0,9.0,2016.0
188583501.0,2016,410687104.0,14.0,0.0,,,1.0,2.0,7.0,2016.0,39.0,0.0,,,0.0,9.0,2016.0
207309551.0,2016,207309552.0,12.0,0.0,,1.0,1.0,2.0,6.0,2016.0,,,,,,,
210043101.0,2016,210043103.0,14.0,1.0,,,1.0,2.0,7.0,2016.0,38.0,0.0,,,0.0,12.0,2016.0
210082102.0,2016,210082103.0,12.0,1.0,,,1.0,1.0,7.0,2016.0,39.0,0.0,,,0.0,12.0,2016.0
210083104.0,2016,210083105.0,11.0,0.0,,,1.0,1.0,5.0,2016.0,35.0,0.0,,,0.0,6.0,2016.0
210126104.0,2016,210126105.0,15.0,0.0,,,1.0,2.0,9.0,2016.0,36.0,0.0,,,0.0,9.0,2016.0
210149104.0,2016,210149105.0,15.0,1.0,,,1.0,3.0,6.0,2016.0,44.0,0.0,,,0.0,12.0,2016.0
210173103.0,2016,210173104.0,14.0,1.0,,,1.0,4.0,8.0,2016.0,39.0,0.0,,,0.0,12.0,2016.0
210174101.0,2016,210174105.0,11.0,1.0,,,1.0,2.0,5.0,2016.0,,,,,,,
210195102.0,2016,210195103.0,14.0,0.0,,,1.0,1.0,8.0,2016.0,37.0,0.0,,,0.0,9.0,2016.0
210391102.0,2016,210391103.0,11.0,0.0,,,1.0,2.0,4.0,2016.0,40.0,0.0,,,0.0,9.0,2016.0
210393101.0,2016,210393103.0,14.0,0.0,,,1.0,2.0,8.0,2016.0,51.0,0.0,,,,9.0,2016.0
210413101.0,2016,210413103.0,12.0,1.0,,,1.0,2.0,6.0,2016.0,39.0,0.0,,,0.0,8.0,2016.0
210422104.0,2016,210422105.0,14.0,1.0,,,1.0,3.0,8.0,2016.0,36.0,0.0,,,0.0,9.0,2016.0
210447101.0,2016,210447103.0,14.0,0.0,,,1.0,3.0,8.0,2016.0,43.0,0.0,,,0.0,12.0,2016.0
210460101.0,2016,210460103.0,14.0,1.0,,,1.0,2.0,8.0,2016.0,35.0,0.0,,,0.0,9.0,2016.0
210487101.0,2016,210487103.0,12.0,1.0,,,1.0,1.0,5.0,2016.0,44.0,0.0,,,0.0,9.0,2016.0
210588102.0,2016,210588103.0,11.0,1.0,,,1.0,1.0,4.0,2016.0,39.0,0.0,,,0.0,,2016.0
210624101.0,2016,210624103.0,14.0,1.0,,,1.0,1.0,7.0,2016.0,46.0,0.0,,,,9.0,2016.0
210684101.0,2016,210684103.0,10.0,0.0,,,1.0,1.0,3.0,2016.0,34.0,0.0,,,0.0,9.0,2016.0
210698101.0,2016,210698103.0,10.0,1.0,,,1.0,1.0,4.0,2016.0,38.0,0.0,,,0.0,15.0,2016.0
210712101.0,2016,210712103.0,10.0,1.0,,,1.0,1.0,3.0,2016.0,45.0,0.0,,,,16.0,2016.0
210730104.0,2016,210730107.0,10.0,0.0,,,1.0,1.0,5.0,2016.0,30.0,0.0,,,0.0,9.0,2016.0
210735104.0,2016,210735105.0,13.0,1.0,,,1.0,2.0,6.0,2016.0,35.0,0.0,,,0.0,7.0,2016.0
210751107.0,2016,210751108.0,14.0,0.0,,,1.0,2.0,7.0,2016.0,42.0,0.0,,,0.0,12.0,2016.0
210780101.0,2016,210780103.0,14.0,1.0,,,1.0,1.0,7.0,2016.0,44.0,0.0,,,0.0,6.0,2016.0
210829105.0,2016,210829103.0,11.0,1.0,,,1.0,1.0,5.0,2016.0,36.0,0.0,,,0.0,12.0,2016.0
210832102.0,2016,210832103.0,10.0,0.0,,,1.0,1.0,4.0,2016.0,36.0,0.0,,,0.0,,2016.0
210835101.0,2016,210835103.0,12.0,1.0,,,1.0,1.0,6.0,2016.0,39.0,0.0,,,0.0,12.0,2016.0
210836101.0,2016,210836103.0,15.0,0.0,,,1.0,1.0,9.0,2016.0,43.0,0.0,,,0.0,6.0,2016.0
210865102.0,2016,210865103.0,14.0,1.0,,,1.0,3.0,8.0,2016.0,40.0,0.0,,,0.0,9.0,2016.0
210881102.0,2016,210881103.0,14.0,1.0,,,1.0,1.0,9.0,2016.0,42.0,0.0,,,0.0,12.0,2016.0
210900102.0,2016,210900104.0,10.0,1.0,,,1.0,1.0,4.0,2016.0,38.0,0.0,,,0.0,12.0,2016.0
210910102.0,2016,210910103.0,14.0,1.0,,,1.0,3.0,8.0,2016.0,48.0,0.0,23.0,1.0,,,2016.0
210920105.0,2016,210920106.0,10.0,1.0,,,1.0,2.0,4.0,2016.0,32.0,0.0,,,0.0,6.0,2016.0
210930105.0,2016,210930106.0,11.0,0.0,,,1.0,2.0,6.0,2016.0,34.0,0.0,,,0.0,12.0,2016.0
