mother_pid,wav,child_pid,child_birth_y,child_age,child_gender,child_enroll,child_math,child_enroll2,child_eduy,child_wav,mother_birth_y,mother_age,mother_gender,mother_eth,mother_enroll2,mother_eduy,mother_birth_prov,mother_wav
410595102.0,2014,410595103.0,2000.0,14.0,1.0,1.0,3.0,1.0,9.0,2014.0,1971.0,43.0,0.0,,0.0,9.0,,2014.0
410618102.0,2014,410618103.0,2000.0,14.0,0.0,1.0,3.0,1.0,9.0,2014.0,1972.0,42.0,0.0,,0.0,15.0,,2014.0
410624102.0,2014,410624103.0,2001.0,13.0,1.0,1.0,3.0,1.0,8.0,2014.0,1974.0,40.0,0.0,,0.0,15.0,,2014.0
410628103.0,2014,410628104.0,2001.0,13.0,0.0,1.0,2.0,1.0,7.0,2014.0,1979.0,35.0,0.0,,0.0,12.0,,2014.0
410652103.0,2014,410652104.0,1999.0,15.0,0.0,1.0,1.0,1.0,9.0,2014.0,1973.0,41.0,0.0,,0.0,9.0,,2014.0
410655103.0,2014,410655104.0,1999.0,15.0,0.0,1.0,3.0,1.0,8.0,2014.0,1974.0,40.0,0.0,,0.0,9.0,,2014.0
410656105.0,2014,410656109.0,2001.0,13.0,0.0,1.0,2.0,1.0,6.0,2014.0,1970.0,44.0,0.0,,0.0,12.0,,2014.0
410663105.0,2014,410663107.0,2004.0,10.0,0.0,1.0,1.0,,4.0,2014.0,1977.0,37.0,0.0,,0.0,9.0,,2014.0
410678102.0,2014,410678103.0,2000.0,14.0,1.0,1.0,3.0,,9.0,2014.0,1975.0,39.0,0.0,,0.0,2.0,,2014.0
410679103.0,2014,410679104.0,2001.0,13.0,0.0,1.0,1.0,,8.0,2014.0,1973.0,41.0,0.0,,0.0,15.0,,2014.0
410706101.0,2014,410706103.0,2000.0,14.0,1.0,1.0,2.0,1.0,8.0,2014.0,1974.0,40.0,0.0,,0.0,5.0,,2014.0
410733105.0,2014,410733108.0,2003.0,11.0,1.0,1.0,2.0,1.0,5.0,2014.0,1982.0,32.0,0.0,,0.0,12.0,,2014.0
410735105.0,2014,410735107.0,1999.0,15.0,0.0,1.0,3.0,1.0,10.0,2014.0,,,,,,,,
410739102.0,2014,410739103.0,1999.0,15.0,1.0,1.0,1.0,1.0,10.0,2014.0,1965.0,49.0,0.0,,,6.0,,2014.0
410753102.0,2014,410753103.0,1999.0,15.0,0.0,5.0,,,,2014.0,,,,,,,,
410760104.0,2014,410760105.0,1999.0,15.0,1.0,1.0,2.0,1.0,7.0,2014.0,1976.0,38.0,0.0,,0.0,9.0,,2014.0
410765101.0,2014,410765103.0,1999.0,15.0,1.0,1.0,4.0,1.0,9.0,2014.0,1968.0,46.0,0.0,,,6.0,,2014.0
410779104.0,2014,410779105.0,2003.0,11.0,0.0,1.0,2.0,1.0,6.0,2014.0,,,,,,,,
410786104.0,2014,410786105.0,2001.0,13.0,0.0,1.0,3.0,,6.0,2014.0,1976.0,38.0,0.0,,0.0,9.0,,2014.0
410805102.0,2014,410805103.0,2003.0,11.0,0.0,1.0,3.0,1.0,6.0,2014.0,1979.0,35.0,0.0,,0.0,6.0,,2014.0
410818432.0,2014,410818431.0,1999.0,15.0,1.0,5.0,,0.0,8.0,2014.0,1963.0,51.0,0.0,,,0.0,,2014.0
410830108.0,2014,410830111.0,2004.0,10.0,0.0,1.0,3.0,1.0,5.0,2014.0,1980.0,34.0,0.0,,0.0,6.0,,2014.0
410842105.0,2014,410842106.0,2002.0,12.0,0.0,1.0,3.0,1.0,5.0,2014.0,1982.0,32.0,0.0,1.0,0.0,6.0,,2014.0
410843101.0,2014,410843104.0,2004.0,10.0,1.0,1.0,1.0,1.0,4.0,2014.0,1979.0,35.0,0.0,,0.0,6.0,,2014.0
410887104.0,2014,410887105.0,2003.0,11.0,1.0,1.0,4.0,1.0,2.0,2014.0,1977.0,37.0,0.0,,0.0,0.0,,2014.0
410892104.0,2014,410892105.0,2001.0,13.0,1.0,1.0,4.0,1.0,6.0,2014.0,1978.0,36.0,0.0,,0.0,0.0,,2014.0
410894102.0,2014,410894103.0,1999.0,15.0,0.0,1.0,1.0,1.0,7.0,2014.0,1969.0,45.0,0.0,,,6.0,,2014.0
410901102.0,2014,410901103.0,2002.0,12.0,1.0,1.0,3.0,1.0,6.0,2014.0,1979.0,35.0,0.0,,0.0,0.0,,2014.0
410906105.0,2014,410906106.0,2001.0,13.0,1.0,1.0,1.0,1.0,7.0,2014.0,1978.0,36.0,0.0,,0.0,9.0,,2014.0
